address,basePool0,basePool1,yfi,backstop,ghouls,rope,stakedRopeAmount,unisock,pooliJudge,pooliLawyer,pooliSupporter,defiShare,defiAmount,nftShare,nftAmount,poolyShare,poolyAmount,totalAmount,share,chain
0x0ad59c344359fdf8472e7ffbf4eb6af4751138da,Staked,,TRUE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x0c6500f0fe389855ad7efc2faf68b4b25d2bc342,,,FALSE,,6,0,0,0,0,0,0,0,0,6,3478.173,0,0,3478.173,6,Arbitrum
0x0d801699678375e43d14f67453e24f17ebbaef8a,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x0ded5e6b94c67b229e1fb735ef598e5c7f8803d1,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0e1b5ab67af1c99f8c7ebc71f41f75d4d6211e53,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0e93982dc0e777261f9a4d7430f7c4f9032c498b,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x0f1025f754b3eb32ab3105127b563084bfa03a6f,,,FALSE,,2,15,63,0,0,0,0,2,1357.21,21.5,12463.45,0,0,13820.66,23.5,Arbitrum
0x0ff104944594bbd7aa2953a5bea1dac1c7f330a0,,,FALSE,,8,0,0,0,0,0,0,0,0,8,4637.564,0,0,4637.564,8,Arbitrum
0x0ffd1dc2e313a3f10ac9e1b0916bb3752f400091,,,FALSE,,4,0,0,0,0,0,0,0,0,4,2318.782,0,0,2318.782,4,Arbitrum
0x10ad752202fd4c7bbe3107fedba7a225bac85578,,,TRUE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x10d7a263a89e661f780e0eff8cbe59ded312e850,,,FALSE,,0,1,12,0,0,0,0,0,0,3.25,1884.011,0,0,1884.011,3.25,Arbitrum
0x11111b82a7060ad4536afb8d93556b688e21da17,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x112be8010ac3ae3aac99490002555297438ac394,,,FALSE,,1,0,0,0,0,0,0,1,678.6051,1,579.6956,0,0,1258.301,2,Arbitrum
0x11414661e194b8b0d7248e789c1d41332904f2ba,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1146a21769f81c9f2de05eae4dd117241b17d3c5,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1160387a36953afc5d80c0ea7b6b5447774af8e5,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x11b6a5fe2906f3354145613db0d99ceb51f604c9,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x12a101b3c28b0d4e611061980c8645c459663bf8,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Arbitrum
0x1314e24a226a41ac6b707b50c6ec0529b71d56e8,,,TRUE,,0,0,0,0,0,0,0,3,2035.815,0,0,0,0,2035.815,3,Arbitrum
0x1341df844780b66af4ccc98ae0f34be87eabe1d5,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x134c6e76edf4bfb728454916040b84df8c792206,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x14b889b25e70f60d8dc0aa5f10c83680add61351,,,TRUE,,0,0,25,0,0,0,1,1,678.6051,6.25,3623.097,1,552.571,4854.273,8.25,Arbitrum
0x14e56cf9e6257475f9b6310adc98865fc24d6504,Staked,,TRUE,,1,0,0,0,0,0,0,2,1357.21,1,579.6956,0,0,1936.906,3,Arbitrum
0x1540f6fa70c04e5a5dac6a134d9dd03abd301b1a,,,TRUE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x15b65141ad94d63ebd9d5da065308cba53b21358,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x166913095907d7986eb66452f424cfd5cdc1dad1,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x166b6770f7513ee4be7a88f7c8d250e5e8bcbfaf,Staked,Staked,TRUE,,3,0,0,0,0,0,0,3,2035.815,3,1739.087,0,0,3774.902,6,Arbitrum
0x167539702b5501aadd9b0b85e53532fd57cc71a9,,,FALSE,,1,3,43,0,0,0,0,1,678.6051,12.5,7246.194,0,0,7924.8,13.5,Arbitrum
0x16cee291dde07de2a64f5921893675d94edd91d6,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x16dcb6cc3bf04ca487d64c2fbb4c47a9f6af544b,Staked,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x16e9562ead5eb54151a34841866712c38655037a,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x170d4c65a8a11fe8e8a44a25a47d0385338bc5e6,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x176746e6f3be14f7c213dc78049568c698ce73ea,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x184467c4a81e0e16d7ec03c9229657ab7682fa17,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x185196c8c5dd5729f22315203e09e33c3f7d7680,,,FALSE,,0,0,0,0,0,0,10,0,0,0,0,10,5525.71,5525.71,10,Arbitrum
0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,Staked,Staked,TRUE,,4,8,68,0,0,0,0,3,2035.815,23,13333,0,0,15368.81,26,Arbitrum
0x19b0a96c3e93c7d183151120f08162df327f5d8a,,,FALSE,,0,0,0,1,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x19c93eb154d0d8e1cc1fac1ecf3d2d2bcda4af8f,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1a5aaed38e68a07f9f6a8bf1ba11fc5368efbab8,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1a9a200a1cc1f701dde3c2bbbee7fc7061dc5e8c,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1ab709906bb19663e7593426ef04909f185df0f1,,,FALSE,,6,0,0,0,0,0,0,0,0,6,3478.173,0,0,3478.173,6,Arbitrum
0x1afa21bef41b61b198b1782d4f806e163c8f291d,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x1c1d8ee11b6538bc7be4dcba00fac7243cbea75c,,,FALSE,,0,1,11,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Optimism
0x1c277bd41a276f87d3e92bccd50c7364aa2ffc69,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x1cdf36546176f162e6a7e34050869fa641b87c7f,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1d8700496a2f44389ae13c1418ee94ed64b5a066,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1dffdb114e58baedbd25290a1efffa9fc3726d1f,,,TRUE,,0,0,0,0,0,0,0,3,2035.815,0,0,0,0,2035.815,3,Arbitrum
0x1e39cc29009ed4760c186d8771295c1e224882d4,,,FALSE,,0,4,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x1eb322c016815ee5b29c071586c1b75be5934576,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x1ee27f2803fb485507455584a0fe87e7c2747489,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Optimism
0x1f427a6fcdb95a7393c58552093e10a932890fa8,,,TRUE,,3,0,0,0,0,0,0,1,678.6051,3,1739.087,0,0,2417.692,4,Arbitrum
0x20f9e5a17b00350f1eaf9ad18bc5be0d54c0bc3f,,,TRUE,,4,0,0,0,0,0,1,1,678.6051,4,2318.782,1,552.571,3549.958,6,Arbitrum
0x213f6b2680dce3e4d0924acff3e4e34520ef9ba1,,,FALSE,,6,0,0,0,0,0,0,2,1357.21,6,3478.173,0,0,4835.384,8,Arbitrum
