address,share,chain,referralENS,referralENSAddress
0x5bfcd9fe67a606a6b6756db3db647ea166e91aa0,1,Arbitrum,kungen.eth,0x2be21ec97c340301e903f65f66901a23c48f4873
0x2be21ec97c340301e903f65f66901a23c48f4873,1,Arbitrum,,
0x5c648ad819217f69268caa8af95bfb8cc81d5154,1,Optimism,bodaciouspirate.eth,0xa2e9ec27b948d85b11f7935728cb68e11d73d8fd
0xa2e9ec27b948d85b11f7935728cb68e11d73d8fd,2,Arbitrum,,
0x69e6717964273a4b031242bfcc904469ed7171dd,1,Arbitrum,57street.eth,0xa6e4dbf0d11752fd698d8b124fccd17665df7e57
0xa6e4dbf0d11752fd698d8b124fccd17665df7e57,1,Optimism,,
0x75d4bdbf6593ed463e9625694272a0ff9a6d346f,1,Arbitrum,0xhamachi.eth,0xfefb7f992b7d8199ef3232ce3799bb6880390c4b
0x779e76758b5538084136132bceb6a672cacdb726,2,Arbitrum,skems.eth,0x779e76758b5538084136132bceb6a672cacdb726
0x78503534a5783650a34e65f5c33e232e2e011d86,1,Arbitrum,scimitar.eth,0x7cb71c594febace6b6ba11126abeb8cc860cb24a
0x7cb71c594febace6b6ba11126abeb8cc860cb24a,1,Arbitrum,,
0x8140629badaa17b24544b3b01d4804c011875d1a,1,Arbitrum,bodaciouspirate.eth,0xa2e9ec27b948d85b11f7935728cb68e11d73d8fd
0x879d15d6c06404e798cac7ff74e2fedb562ea1b5,1,Arbitrum,commonaccount.eth,0x5aaa92c6a3f18410194bb9593715b06a0e208dd9
0x5aaa92c6a3f18410194bb9593715b06a0e208dd9,2,Arbitrum,,
0x96ae65b7a604e1528c1076edf31825bc30f621cd,1,Arbitrum,chipicao.eth,0x80e76627ad7f2b4d8c37e5d67140cfec4c6933da
0x80e76627ad7f2b4d8c37e5d67140cfec4c6933da,1,Arbitrum,,
0x98ccf605c43a0bf9d6795c3cf3b5fed836330511,1,Arbitrum,anonyme.eth,0x01ab07010c2f4bf5971537669cc19d5d8cf320a0
0x01ab07010c2f4bf5971537669cc19d5d8cf320a0,1,Arbitrum,,
0x9fb622b200d7403be7c596164018fc7f39ab1536,1,Arbitrum,hotto.eth,0x2a7051d7cbbef7b6889f8e14774020b1653b94c1
0x2a7051d7cbbef7b6889f8e14774020b1653b94c1,1,Arbitrum,,
0xa22bd9c8b6810ae567d52f6e8e12da68cd809bae,1,Arbitrum,rgen.eth,0x7724d7a55c8a3cea51513b10b2eee8ebe7b1a65a
0x7724d7a55c8a3cea51513b10b2eee8ebe7b1a65a,1,Arbitrum,,
0xa3e51498579db0f7bb1ec9e3093b2f44158e25a5,1,Optimism,elegy.eth,0x74df3f79e48220af12c8da4737be2de223836c99
0x74df3f79e48220af12c8da4737be2de223836c99,1,Arbitrum,,
0xa6cc9397d29b631b69782e5f7fb9801224c8fa90,1,Arbitrum,janturk.eth,0x734a96c6819d468a7275c75fa14c4c56492da381
0x734a96c6819d468a7275c75fa14c4c56492da381,1,Arbitrum,,
0xaf0f0b5c4110df25ab46dd9f025084229a9f8352,1,Arbitrum,pedrox.eth,0x5833869fdeb4d371b854d7474f5f84b43320fd05
0xaf1bff74708098db603e48aaebec1bbae03dcf11,1,Arbitrum,poopfauc.eth,0x9144d3dd30e5b951d480e0977aa9da231bfe92e2
0x9144d3dd30e5b951d480e0977aa9da231bfe92e2,1,Arbitrum,,
0xb109e15bb4f808e8cb64aad7d1e4588e0a1f4608,1,Arbitrum,pedrox.eth,0x5833869fdeb4d371b854d7474f5f84b43320fd05
0xb1328907b14700379905d6d733fb0b31e46f3d62,1,Optimism,asmod.eth,0x1ec3c1f70e1d6bbdc84092ae86eaade495fddb9b
0x1ec3c1f70e1d6bbdc84092ae86eaade495fddb9b,2,Optimism,,
0xb3313b023e68cda95d7b625200e1b0fe6335a0c2,2,Arbitrum,rsrosabio.eth,0xb3313b023e68cda95d7b625200e1b0fe6335a0c2
0xb5fef8e426269bc80f8acae2906dea8d5f329cdd,1,Arbitrum,haines.eth,0xcffe08bdf20918007f8ab268c32f8756494fc8d8
0xcffe08bdf20918007f8ab268c32f8756494fc8d8,1,Arbitrum,,
0xb9cdf9c22f204118af35d3293fe57a356dd9c8c8,1,Arbitrum,mdrlucky.eth,0xf2a336c14a777c51575b34af30e6640af4096cb5
0xf2a336c14a777c51575b34af30e6640af4096cb5,1,Arbitrum,,
0xc1f3ebe56fe3a32adac585e7379882cf0e5a6d87,1,Arbitrum,sheeki.eth,0xb273c323899427485a2fa289f583f46c07aca2ec
0xb273c323899427485a2fa289f583f46c07aca2ec,1,Arbitrum,,
0xc72d57b880a988d120141f09328f7daef527a8b0,2,Arbitrum,mr8559.eth,0xc72d57b880a988d120141f09328f7daef527a8b0
0xc8658f4158bd82404fc1c94e203798a9313d2d1f,1,Arbitrum,commonaccount.eth,0x5aaa92c6a3f18410194bb9593715b06a0e208dd9
0xc8c6bed3c421d3b5ddd0627c7d3ad1f95eab2d67,1,Optimism,marie-elise.eth,0x821e97599a1637d768574b579ad7549fad503cd5
0x821e97599a1637d768574b579ad7549fad503cd5,1,Optimism,,
0xc8e0345596d7196941e61d3ab607e57fe61f85e7,1,Arbitrum,sudoswaplp.eth,0x00003183f59e825911d98fb509a157cd2abbae25
